video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_m,rel_error_%,fish_dist_from_camera,aspect_ratio
2024_11_28,13_07_38_0,13_07_38_0,frame_117,0,255,13,1,False,False,[],[    0.41719     -0.1752     0.89177],1.7777638534680082,-9.126062920109415,2.129637156273394,0.3272886196171797,0.3013267954136901,28.9,3.8288619617179775,1324.8657306982625,1.2384830712113222,6.293394903030941
2024_11_28,13_07_38_0,13_07_38_0,frame_118,0,255,13,1,False,False,[],[    0.37887    -0.17508     0.90874],-7.516569779727858,-13.487231111882132,1.4374268302923747,0.2878918389446048,0.2989823719308091,28.9,0.1108161055395184,38.34467319706522,1.2368243561769394,5.793913856798234
2024_11_28,13_07_38_0,13_07_38_0,frame_119,0,255,13,1,False,False,[],[    0.95245    -0.23212    -0.19739],-11.025648123637875,-13.857250417970029,0.2870051926664845,0.2867773454024585,0.2884543428157854,28.9,0.2222654597541506,76.90846358275111,1.2169703356087174,5.802176026143287
2024_11_28,13_07_38_0,13_07_38_0,frame_120,0,255,13,1,False,False,[],[    0.94536    -0.26856    -0.18487],-10.66981351405447,-15.921738237204352,0.2899601444026821,0.2889980020312116,0.2971541673361786,28.9,0.0001997968788358,0.0691338681092966,1.190732053434928,6.008810390523022
2024_11_28,13_07_38_0,13_07_38_0,frame_121,0,255,13,1,False,False,[],[    0.25289    -0.14389     0.95674],-11.215364389086892,-17.764356882336358,2.168970862737422,0.2870633962710676,0.2835671767703378,28.9,0.1936603728932395,67.01050965163999,1.1768364400123226,6.294736747204163
2024_11_28,13_07_38_0,13_07_38_0,frame_123,0,255,13,1,False,False,[],[    0.35711     -0.1509     0.92179],-2.80136561917732,-8.109995104763586,1.801989897471956,0.2911279591923845,0.281588124382891,28.9,0.2127959192384565,73.63180596486386,1.141248665900247,5.18753984448848
2024_11_28,13_07_38_0,13_07_38_0,frame_124,0,255,13,1,False,False,[],[    0.39804    -0.14724     0.90548],0.4357416184373263,-4.481214475569203,2.092483459204295,0.2915385736094432,0.2906050621617537,28.9,0.2538573609443262,87.83991728177378,1.1232928103400903,4.988219757480122
2024_11_28,13_07_38_0,13_07_38_0,frame_125,0,255,13,1,False,False,[],[    0.43939    -0.11794     0.89052],3.459736178920798,-0.3808103187397502,2.2911490145926896,0.2947181921818627,0.296211499326566,28.9,0.5718192181862758,197.86132117172176,1.1041107498449725,5.617647058823529
2024_11_28,13_07_38_0,13_07_38_0,frame_126,0,255,13,1,False,False,[],[     0.7103   -0.094938     0.69746],3.2424819452750584,-0.710012651357206,1.663996220709833,0.2936701380529671,0.2968254547510347,28.9,0.4670138052967176,161.5964724210096,1.082647458316809,5.514286044373876
2024_11_28,13_07_38_0,13_07_38_0,frame_127,0,255,13,1,False,False,[],[    0.32719     -0.1288     0.93614],4.158329276125734,0.0288132616607034,2.176919677047135,0.2899720662728039,0.287560976647435,28.9,0.0972066272803939,33.6355111696865,1.066484038746989,5.216216216216216
2024_11_28,13_07_38_0,13_07_38_0,frame_128,0,255,13,1,False,False,[],[    0.29955    -0.13014     0.94516],3.871247371397759,-8.751249548465655,2.2574013794408376,0.2885358993239625,0.28242153105973,28.9,0.0464100676037415,16.058846921709883,1.0434378099318216,5.08016868548741
2024_11_28,13_07_38_0,13_07_38_0,frame_130,0,255,13,1,False,False,[],[    0.32321    -0.13932     0.93602],3.494395213551558,-11.684828369675069,2.321972133934906,0.2947862839349171,0.2883634823356365,28.9,0.5786283934917147,200.21743719436492,1.007022938225073,5.150601796050599
2024_11_28,13_07_38_0,13_07_38_0,frame_131,0,255,13,1,False,False,[],[    0.72833     -0.2276     0.64632],1.7358526104275636,-16.195778115944574,1.2815764766715,0.2917020821234487,0.2924191782691432,28.9,0.2702082123448746,93.49765133040644,0.9917035898615238,5.256363825552696
2024_11_28,13_07_38_0,13_07_38_0,frame_132,0,255,13,1,False,False,[],[    0.95306    -0.30221    0.018453],0.8897875591606446,-17.59673835991441,0.2900359825967431,0.2898276153174322,0.2886276196446002,28.9,0.0827615317432195,28.637208215646904,0.9801080499220146,5.343750603745735
2024_11_28,13_07_38_0,13_07_38_0,frame_133,0,255,13,1,False,False,[],[    0.73109    -0.20624     0.65036],-0.4269336663559783,-15.673687339044148,1.5909535497121476,0.2916112227125912,0.2884865680702141,28.9,0.2611222712591232,90.3537270792814,0.971578190919994,5.278542073206789
2024_11_28,13_07_38_0,13_07_38_0,frame_134,0,255,13,1,False,False,[],[    0.83609    -0.17928     0.51846],-4.881038251198031,-11.222787501203484,0.8735446202693449,0.2895882046315126,0.2848960533657567,28.9,0.0588204631512601,20.353101436422183,0.9642056201984568,5.51454064713529
2024_11_28,13_07_38_0,13_07_38_0,frame_135,0,255,13,1,False,False,[],[    0.46752     -0.1169     0.87622],-8.681495548374611,1.5157232527449347,2.519756169131498,0.2903464658523668,0.2895568354627194,28.9,0.1346465852366862,46.59051392272882,0.9663489641004882,5.725
2024_11_28,13_07_38_0,13_07_38_0,frame_136,0,255,13,1,False,False,[],[    0.63704    -0.04741     0.76937],-11.413903224940018,4.593747624645651,1.785503370266914,0.2869217829184087,0.2835500208287204,28.9,0.2078217081591282,71.91062566059801,0.9662577266341162,5.525356914889962
2024_11_28,13_07_38_0,13_07_38_0,frame_137,0,255,13,1,False,False,[],[     0.3561    -0.15871     0.92087],-10.443585866421834,0.8276887928740898,1.4554819497915212,0.2878628969626572,0.2823657049605417,28.9,0.1137103037342712,39.34612585960944,0.965405915529749,5.560975609756097
2024_11_28,13_07_38_0,13_07_38_0,frame_138,0,255,13,1,False,False,[],[    0.60311    -0.10864     0.79022],-15.027388094947344,0.2649692458403108,2.0739266745734133,0.2865368592704735,0.2806962891964709,28.9,0.2463140729526414,85.22978302859565,0.9645834341595604,5.912651347035008
2024_11_28,13_07_38_0,13_07_38_0,frame_139,0,255,13,1,False,False,[],[    0.94352   0.0094747    -0.33119],-19.516630715019307,0.5849082227771176,0.2851790865336661,0.2851753477100425,0.2795553325951766,28.9,0.3824652289957431,132.34090968710834,0.9721516687025852,5.913112152826686
2024_11_28,13_07_38_0,13_07_38_0,frame_140,0,255,13,1,False,False,[],[    0.80987    -0.14696     -0.5679],-25.47922606750322,-11.115252774617264,0.3860819048110785,0.2847312558278462,0.2913318746979094,28.9,0.4268744172153782,147.70741080116895,0.973264428298914,5.782051556083241
2024_11_28,13_07_38_0,13_07_38_0,frame_141,0,255,13,1,False,False,[],[     0.1371    -0.16382     0.97692],-28.81292113548695,-15.200301079458098,1.686811254390817,0.2816598074300177,0.2762747827070816,28.9,0.7340192569982251,253.98590207551047,0.9883613154663268,6.035715062740145
2024_11_28,13_07_38_0,13_07_38_0,frame_142,0,255,13,1,False,False,[],[    0.70897    -0.23421    -0.66521],-26.83560679123465,-20.27619865834704,0.695720364615489,0.2811437661761828,0.2726240482663631,28.9,0.7856233823817116,271.84200082412167,1.005032472973726,6.158573819926039
2024_11_28,13_07_38_0,13_07_38_0,frame_143,0,255,13,1,False,False,[],[   -0.55752     0.21377     0.80216],-26.82009723622205,-24.12849292639428,1.2085648480786235,0.2779489272593083,0.271642799278168,28.9,1.105107274069167,382.3900602315457,1.021171308321488,5.687956805176127
2024_11_28,13_07_38_0,13_07_38_0,frame_144,0,255,13,1,False,False,[],[    0.80495    -0.32869    -0.49399],-29.201746085912028,-22.25315557284569,0.2786334953119164,0.2766480042400981,0.2751417107850811,28.9,1.2351995759901868,427.4046975744592,1.0303130657805335,5.883729820016134
2024_11_28,13_07_38_0,13_07_38_0,frame_145,0,255,13,1,False,False,[],[    0.79828    -0.16979    -0.57785],-31.180387888385432,-12.95073595923265,0.4938627257316584,0.2811212211732229,0.2692330865300821,28.9,0.7878778826777066,272.6221047327705,1.0503484372089966,5.823408747606581
2024_11_28,13_07_38_0,13_07_38_0,frame_146,0,255,13,1,False,False,[],[    0.86213    -0.19154    -0.46908],-27.85359655446359,-12.54827805744462,0.2796963276734151,0.2762579804174939,0.2693577602432324,28.9,1.2742019582506037,440.9003315746034,1.0654978289414216,5.365930196079091
2024_11_28,13_07_38_0,13_07_38_0,frame_147,0,255,13,1,False,False,[],[    0.84907    -0.16021    -0.50341],-29.90513705041894,-10.59731158589375,0.274139671063168,0.2743290279241021,0.2825160769158982,28.9,1.4670972075897903,507.64609259162296,1.0862866865086491,6.14203314461615
2024_11_28,13_07_38_0,13_07_38_0,frame_148,0,255,13,1,False,False,[],[   -0.54799    -0.06718     0.83378],-29.107387395546912,-6.3694347224023184,0.6424501570216635,0.279764445908882,0.2812705829493551,28.9,0.9235554091117926,319.56934571342305,1.130660502669903,5.605041906837033
2024_11_28,13_07_38_0,13_07_38_0,frame_149,0,255,13,1,False,False,[],[    0.89904    -0.23002    -0.37259],-21.97829383712859,-14.52190496598566,0.2727097659959734,0.2727494606881799,0.2814200461127963,28.9,1.6250539311820078,562.3023983328748,1.152713674887219,4.988656039386509
2024_11_28,13_07_38_0,13_07_38_0,frame_150,0,255,13,1,False,False,[],[    0.83985    -0.42495    -0.33774],-17.978160057611973,-27.176498442938485,0.2777924527203974,0.2781959367083432,0.2765712037621832,28.9,1.080406329165673,373.8430204725513,1.162539930912145,5.830119151431767
2024_11_28,13_07_38_0,13_07_38_0,frame_151,0,255,13,1,False,False,[],[    0.85758    -0.38196    -0.34449],-27.0912371931014,-22.85338735489168,0.2856267161895456,0.2711762241741058,0.2625849004929748,28.9,1.7823775825894117,616.7396479548138,1.1811336129805694,6.87347080618916
2024_11_28,13_07_38_0,13_07_38_0,frame_152,0,255,13,1,False,False,[],[      0.794    -0.22427    -0.56504],-34.275971491441155,-15.87130697355894,0.2685906328079454,0.2687061940902997,0.2703846265744749,28.9,2.029380590970025,702.2078169446455,1.204709549658325,5.888730125188162
2024_11_28,13_07_38_0,13_07_38_0,frame_153,0,255,13,1,False,False,[],[    0.81345    -0.24062    -0.52953],-33.20797670249298,-16.175415333470912,0.2740958220061348,0.2737858670006779,0.2803015689998459,28.9,1.521413299932206,526.440588211836,1.229235886377421,5.640134761835273
2024_11_28,13_07_38_0,13_07_38_0,frame_155,0,255,13,1,False,False,[],[    0.84827    -0.35332    -0.39447],-25.234793592852263,-22.265419127037543,0.2776050840815545,0.2772177696231226,0.2761362194619048,28.9,1.1782230376877312,407.6896324179,1.279834684651149,6.129888855211389
2024_11_28,13_07_38_0,13_07_38_0,frame_156,0,255,13,1,False,False,[],[    0.84346    -0.14027    -0.51855],-28.23415290125215,-9.510004448903034,0.2747834539200735,0.2753231872352168,0.2775203647821057,28.9,1.3676812764783108,473.2461164284813,1.3230895563428295,6.09996478402357
2024_11_28,13_07_38_0,13_07_38_0,frame_157,0,255,13,1,False,False,[],[    0.90112    -0.28931     0.32293],-24.968992814494896,-7.620022280951463,0.4388301945913422,0.2770844202425916,0.2814301818625218,28.9,1.1915579757408368,412.3037978341996,1.359745826624687,5.83441516392266
