Dataset_ID,Bagfile_Name,Date,Dataset_Type,Image_Format,Duration_Sec,Num_Images_Left,Num_Images_Right,Frame_Rate_FPS,Size_GB,Fishes_Present
Dataset 1,stereo_camera_images_2024-11-28-12-57-51_0_compressed.bag,2024_11_28,single_fish,Compressed,39.46,158,159,4.0,0.53,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-12-52-36_0_compressed.bag,2024_11_28,single_fish,Compressed,120.91,484,485,4.0,1.98,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-07-39_0_compressed.bag,2024_11_28,single_fish,Compressed,41.97,169,169,4.03,0.7,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-02-27_0_compressed.bag,2024_11_28,single_fish,Compressed,120.66,484,484,4.01,1.99,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-04-39_0_compressed.bag,2024_11_28,single_fish,Compressed,34.48,138,138,4.0,0.57,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-12-58-48_0_compressed.bag,2024_11_28,single_fish,Compressed,120.65,483,484,4.0,1.98,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-12-57-00_0_compressed.bag,2024_11_28,single_fish,Compressed,38.97,157,157,4.03,0.65,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-05-27_0_compressed.bag,2024_11_28,single_fish,Compressed,120.9,484,485,4.0,1.99,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-09-20_0_compressed.bag,2024_11_28,single_fish,Compressed,42.96,172,173,4.0,0.67,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-12-31_0_compressed.bag,2024_11_28,single_fish,Compressed,120.9,485,484,4.01,1.92,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-01-16_0_compressed.bag,2024_11_28,single_fish,Compressed,59.45,238,239,4.0,0.83,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-12-54-48_0_compressed.bag,2024_11_28,single_fish,Compressed,120.9,485,485,4.01,1.98,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-08-34_0_compressed.bag,2024_11_28,single_fish,Compressed,32.98,133,133,4.03,0.48,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-10-19_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.65,484,484,4.01,1.93,Not found in GT
Dataset 1,stereo_camera_images_2024-11-28-13-19-06_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.9,485,485,4.01,1.92,Not found in GT
Dataset 1,stereo_camera_images_2024-11-28-13-21-17_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.9,485,485,4.01,1.92,Not found in GT
Dataset 1,stereo_camera_images_2024-11-28-13-47-08_0_compressed.bag,2024_11_28,multiple_fish,Compressed,60.95,245,245,4.02,1.07,Not found in GT
Dataset 1,stereo_camera_images_2024-11-28-13-39-00_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.91,485,485,4.01,2.13,S_scombrus (28.9cm)
Dataset 1,stereo_camera_images_2024-11-28-13-41-12_0_compressed.bag,2024_11_28,multiple_fish,Compressed,65.7,264,264,4.02,1.16,"B_boops (21.6cm), S_scombrus (28.9cm)"
Dataset 1,stereo_camera_images_2024-11-28-13-25-41_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.9,485,485,4.01,1.91,Not found in GT
Dataset 1,stereo_camera_images_2024-11-28-13-23-29_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.9,485,485,4.01,1.9,Not found in GT
Dataset 1,stereo_camera_images_2024-11-28-13-34-27_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.9,485,485,4.01,1.91,"B_boops (21.6cm), S_scombrus (28.9cm)"
Dataset 1,stereo_camera_images_2024-11-28-13-32-16_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.65,484,484,4.01,1.9,"B_boops (21.6cm), S_scombrus (28.9cm)"
Dataset 1,stereo_camera_images_2024-11-28-13-44-57_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.9,485,485,4.01,2.11,Not found in GT
Dataset 1,stereo_camera_images_2024-11-28-13-36-49_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.65,483,484,4.0,2.12,"B_boops (21.6cm), S_scombrus (28.9cm)"
Dataset 1,stereo_camera_images_2024-11-28-13-48-24_0_compressed.bag,2024_11_28,multiple_fish,Compressed,41.47,167,167,4.03,0.73,"B_boops (21.6cm), S_scombrus (28.9cm)"
Dataset 1,stereo_camera_images_2024-11-28-13-27-52_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.91,485,485,4.01,1.92,"B_boops (21.6cm), S_scombrus (28.9cm)"
Dataset 1,stereo_camera_images_2024-11-28-13-30-04_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.9,485,485,4.01,1.9,Not found in GT
Dataset 1,stereo_camera_images_2024-11-28-13-16-54_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.91,485,484,4.01,1.93,"B_boops (21.6cm), S_scombrus (28.9cm)"
Dataset 1,stereo_camera_images_2024-11-28-13-42-45_0_compressed.bag,2024_11_28,multiple_fish,Compressed,120.66,483,484,4.0,2.11,"B_boops (21.6cm), S_scombrus (28.9cm)"
