video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera,especie_gt,failure_reason,unique_track,scenario
2024_11_28,13-12-31_0,13-12-31_0,frame_113,0,255,4,1,False,False,True,5.548387611434411,True,True,[],[    0.45052   -0.026324     0.89238],33.57635988824191,12.462768483393283,1.3771203516409358,0.2825104781381962,0.2723774413175912,28.9,0.6489521861803809,2.917361464537405,1.7178895983202704,caballa,angle_fail,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_114,0,255,4,1,False,False,True,5.741771702384286,True,True,[],[    0.27767   -0.085499     0.95686],34.2376692957831,11.691982947814276,1.4619501047720107,0.3703483375259426,0.3159040886158263,28.9,8.134833752594261,27.267469940186466,1.7187780912794557,caballa,angle_fail,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_115,0,255,4,1,False,False,True,5.052631127833011,True,True,[],[    0.46786     -0.0088     0.88376],35.497210343502154,12.054544127041009,1.276369220342942,0.3184952200841465,0.3065221919325064,28.9,2.9495220084146503,9.44852923853832,1.7106185269767915,caballa,angle_fail,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_116,0,255,4,1,False,False,True,4.865183539803282,True,True,[],[    0.47305  -0.0065621     0.88101],26.989865793397907,9.8726322560092,1.261222069134463,0.2917349212040566,0.3223788156964104,28.9,0.27349212040565973,0.2525502419438503,1.7085074968653386,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_117,0,255,4,1,False,False,True,5.105288590468986,True,True,[],[      0.317   -0.066384      0.9461],27.19501507923903,6.900513898766458,1.4502266751535675,0.3587049607565196,0.3241055223581086,28.9,6.970496075651958,23.26630953832287,1.6877698560286072,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_118,0,255,4,1,False,False,True,6.842105263157895,True,True,[],[    0.16423    -0.15171     0.97469],4.056864122465074,-0.1639097364621937,1.6479667150907054,0.262784847482892,0.2566815327193937,28.9,2.6215152517108002,9.695928700037127,1.6206764528579352,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_119,0,255,4,1,False,False,True,5.541666976019905,True,True,[],[    0.11411     -0.1503     0.98203],-14.018199093393193,-9.651518703178024,1.6990010443708083,0.27643911804434,0.2891026617719162,28.9,1.2560881955659973,5.003739503663218,1.5812757290190174,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_120,0,255,4,1,False,False,True,5.296779842479492,True,True,[],[   0.003863   -0.098836      0.9951],-19.60046938961118,-17.35609274004502,1.484537019177821,0.3179121398753967,0.3098279952450805,28.9,2.8912139875396683,9.24815803278237,1.5603063307149672,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_121,0,255,4,1,False,False,True,5.415816159272874,True,True,[],[  -0.033551    -0.13069     0.99085],-9.325490609957937,-15.03249196679964,1.6834206690701086,0.2872687598965901,0.3073779668711484,28.9,0.17312401034098812,1.2822130939552976,1.54641054228798,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_122,0,255,4,1,False,False,True,5.3030303007976105,True,True,[],[    0.02271    -0.14226     0.98957],-2.0550984581001708,-10.882365365345574,1.5496439695027389,0.2845975981506435,0.2810155850862051,28.9,0.44024018493564654,2.2001380925623817,1.539971537848349,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_123,0,255,4,1,False,False,True,5.434598943229822,True,True,[],[    0.27549    -0.16869     0.94639],0.5535162112525297,-13.964887521667617,1.5822655415717686,0.3320144635160559,0.3031670941287097,28.9,4.301446351605591,14.094317359469388,1.5115874092326635,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_124,0,255,4,1,False,False,True,5.3829227525835,True,True,[],[   0.086501    -0.13483     0.98709],-24.29272088697978,-12.103663488237077,1.642330461998618,0.2396453316555407,0.234945455097223,28.9,4.935466834445929,17.647652352047864,1.480687676496493,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_125,0,255,4,1,False,False,True,5.088757656428256,True,True,[],[    0.17119    -0.12069     0.97782],3.704454335570312,-10.313559640641762,1.8405333671266304,0.2921666613040554,0.2923887746996986,28.9,0.31666613040554026,0.4009145374760842,1.4881200667329226,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_126,0,255,4,1,False,False,True,4.965116783400039,True,True,[],[    0.19619    -0.12639     0.97239],4.0598147116630345,-8.813306223462886,1.6971412384958366,0.280642144725637,0.27887842446057,28.9,0.8357855274363004,3.5594004379254494,1.4783233156322195,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_127,0,255,4,1,False,False,True,4.835737012575919,True,True,[],[    0.14896    -0.10962     0.98275],7.933403077412898,4.708680823450215,1.7232410916041496,0.2858703939148226,0.2853989171129665,28.9,0.3129606085177379,1.7627512320197352,1.472283214165854,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_128,0,255,4,1,False,False,True,4.980429374913499,True,True,[],[    0.10344    -0.11251     0.98825],30.887363737121497,3.381598803322883,1.7455701354500874,0.3474365765346221,0.3317638837889684,28.9,5.843657653462216,19.394012554852942,1.5094617960035956,caballa,angle_fail,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_129,0,255,4,1,False,False,True,5.103143879293294,True,True,[],[    0.11056     -0.1004     0.98878],21.424043026591917,3.765577639916819,1.6876579192154446,0.294444448905791,0.2840751756602908,28.9,0.5444448905791042,1.18365941779759,1.464978421085413,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_130,0,255,4,1,False,False,True,5.1203864078496855,True,True,[],[    0.14831    -0.12952     0.98042],7.008638249435016,3.34128844069459,1.8011493173056434,0.2851174961152502,0.2888883505731959,28.9,0.38825038847497595,2.0214789981958114,1.4122232182459398,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_131,0,255,4,1,False,False,True,5.159999954918142,True,True,[],[    0.15088    -0.13768     0.97892],8.151711707782416,-11.126806359178415,1.880259176178772,0.2916154298408196,0.2953065383272431,28.9,0.26154298408196297,0.2114879178074162,1.3980987801411024,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_132,0,255,4,1,False,False,True,5.1296824945907336,True,False,[],,1.544836320817497,-18.109457221842437,-1.0,0.2847879197445406,0.2891189412752691,28.9,0.4212080255459405,2.1347354829757528,1.3808238136455382,caballa,bad_pointcloud,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_133,0,255,4,1,False,False,True,5.25189452846407,True,True,[],[    0.15575    -0.16089      0.9746],-0.1928316554690623,-19.65008187370912,1.6422207747416748,0.2881303337518578,0.2968473404920076,28.9,0.08696662481421669,0.9861396041725848,1.3723611897695902,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_134,0,255,4,1,False,False,True,5.129574717731848,True,True,[],[    0.11076    -0.14359     0.98342],2.2640155799136035,-14.858203715242771,1.8019850681120595,0.2769389485137491,0.2781528144932702,28.9,1.2061051486250882,4.83197645575633,1.3637893180246203,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_135,0,255,4,1,False,False,True,5.136132509249611,True,True,[],[    0.13362    -0.15175     0.97934],6.733408890678908,-12.856509183506445,1.8009926391645483,0.2836251769773517,0.2795924374859028,28.9,0.5374823022648307,2.534303444209057,1.3615131901646895,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_136,0,255,4,1,False,False,True,5.013380174254634,True,True,[],[   0.068214    -0.12941     0.98924],10.355779241459228,-13.07604077674232,1.8282588700509577,0.288747951764756,0.2865129077020469,28.9,0.02520482352440112,0.773899737197269,1.3564802457701486,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_137,0,255,4,1,False,False,True,5.62962962962963,True,True,[],[   0.060676    -0.13393     0.98913],8.007813702934842,-1.435878474615932,1.8640796489578693,0.2804580987557039,0.2790451057866337,28.9,0.8541901244296106,3.622646475703147,1.3487136020951402,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
