track_uid,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,rel_error_perc,mean_elevation_deg,dataset,scenario,video_day,video_name,especie_gt
Dataset_1_2024_11_28_13-12-31_0_4,290.0,30.24799164443338,28.9,1.3479916444333817,4.664330949596477,4.362016325115084,Dataset_1,single_fish,2024_11_28,13-12-31_0,caballa
Dataset_1_2024_11_28_13-14-43_0_1,37.0,29.708273151543402,28.9,0.8082731515434034,2.7967929119148907,-15.604629768780143,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,caballa
Dataset_1_2024_11_28_13-14-43_0_21,30.0,21.627347138073418,21.6,0.027347138073416488,0.1266071207102615,-4.111561189043124,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,fish_3
Dataset_1_2024_11_28_13-14-43_0_24,21.0,29.173901815026277,28.9,0.273901815026278,0.9477571454196471,-2.270225287303895,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,caballa
Dataset_1_2024_11_28_13-14-43_0_29,38.0,28.916427701451212,21.6,7.316427701451211,33.87235046968153,-4.996262786250784,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,fish_3
Dataset_1_2024_11_28_13-14-43_0_37,11.0,30.58452324106139,28.9,1.6845232410613917,5.828800142080941,-9.987159489273857,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,caballa
Dataset_1_2024_11_28_13-14-43_0_45,162.0,29.462694115552946,28.9,0.5626941155529472,1.9470384621209247,-9.095684054233715,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,caballa
Dataset_1_2024_11_28_13-14-43_0_77,31.0,21.85775193537567,21.6,0.2577519353756692,1.1932959971095796,-0.00985432350243343,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,fish_3
Dataset_1_2024_11_28_13-14-43_0_81,6.0,21.27493997857845,21.6,0.3250600214215531,1.5049075065812643,13.97151502180146,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,fish_3
Dataset_1_2024_11_28_13-14-43_0_82,27.0,22.39227076273719,21.6,0.7922707627371892,3.6679201978573572,-13.667229911881893,Dataset_1,multiple_fish,2024_11_28,13-14-43_0,fish_3
Dataset_1_2024_11_28_13-16-54_0_1,152.0,35.855361091115526,28.9,6.9553610911155275,24.066993394863417,4.732244823176272,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,caballa
Dataset_1_2024_11_28_13-16-54_0_12,18.0,25.80537649549619,21.6,4.205376495496189,19.46933562729717,-0.7991554038391896,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,fish_3
Dataset_1_2024_11_28_13-16-54_0_41,17.0,30.72753314348555,28.9,1.827533143485553,6.32364409510572,-9.765549509933786,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,caballa
Dataset_1_2024_11_28_13-16-54_0_49,24.0,29.790420996664203,28.9,0.8904209966642043,3.0810415109488036,-3.397788406630454,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,caballa
Dataset_1_2024_11_28_13-16-54_0_53,159.0,35.2161649246503,28.9,6.316164924650302,21.855241953807273,5.238746247902212,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,caballa
Dataset_1_2024_11_28_13-16-54_0_59,16.0,22.58272794135663,21.6,0.9827279413566288,4.549666395169577,-10.58363052665396,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,fish_3
Dataset_1_2024_11_28_13-16-54_0_67,14.0,22.59122043169878,21.6,0.9912204316987783,4.588983480086936,-0.5707866694377277,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,fish_3
Dataset_1_2024_11_28_13-16-54_0_68,47.0,24.11279388638755,21.6,2.5127938863875485,11.633305029571982,-5.418373851583144,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,fish_3
Dataset_1_2024_11_28_13-16-54_0_71,7.0,21.08172305387622,21.6,0.5182769461237804,2.399430306128613,-21.964277080611215,Dataset_1,multiple_fish,2024_11_28,13-16-54_0,fish_3
Dataset_1_2024_11_28_13-19-06_0_12,6.0,30.311032992949283,28.9,1.4110329929492842,4.882467103630741,-2.0391654636530934,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,caballa
