video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2025_05_08,11_49_52_11-49-52_0,7,126.0,32.45859790225219,33.5,1.0414020977478131,-0.638686066969854
2025_05_08,11_28_42_11-28-42_0,2,21.0,32.47383325637347,33.5,1.0261667436265327,16.852783875471328
2025_05_08,11_59_57_11-59-57_0,1,39.0,29.483240270113285,30.5,1.016759729886715,9.935524302475589
2025_05_08,11_28_42_11-29-49_2,7,77.0,29.50656204802246,30.5,0.9934379519775405,9.388023311239833
2025_05_08,11_48_14_11-48-15_0,1,133.0,32.519353193783864,33.5,0.9806468062161358,5.723707051342049
2025_05_08,12_02_43_12-02-44_0,1,161.0,32.5599051678309,33.5,0.9400948321691018,6.085246021469126
2025_05_08,11_36_35_11-36-36_0,27,20.0,29.589093092499898,30.5,0.9109069075001024,1.527490559836946
2025_05_08,11_33_22_11-33-52_1,2,95.0,31.394307505807166,30.5,0.8943075058071663,-0.16144790465822503
2025_05_08,12_02_43_12-02-44_0,13,42.0,29.610546073555454,30.5,0.8894539264445456,7.1074552036314875
2025_05_08,11_48_14_11-48-15_0,22,11.0,32.61918763142757,33.5,0.8808123685724283,11.254936947459212
2025_05_08,12_02_02_12-02-02_0,13,215.0,32.62348797114398,33.5,0.8765120288560198,0.4369146372350981
2025_05_08,11_44_47_11-44-48_0,1,106.0,32.69643705922062,33.5,0.8035629407793792,4.687007880981366
2025_05_08,12_00_39_12-00-39_0,17,10.0,29.701165517758486,30.5,0.7988344822415137,-2.876708689490345
2025_05_08,11_49_52_11-49-52_0,13,100.0,31.296987996918308,30.5,0.7969879969183076,-2.052963556683248
2025_05_08,11_49_52_11-49-52_0,10,93.0,32.7208366768164,33.5,0.779163323183603,-3.5736252024808426
2025_05_08,11_57_58_11-57-59_0,10,128.0,32.8101061703795,33.5,0.6898938296205017,-6.541925922694098
2025_05_08,11_33_22_11-33-23_0,2,51.0,29.830005671762205,30.5,0.6699943282377951,8.532086835430396
2025_05_08,12_02_02_12-02-02_0,1,22.0,32.84564459335255,33.5,0.6543554066474471,-1.1084563472424716
2025_05_08,12_02_02_12-02-02_0,9,88.0,29.870374415018926,30.5,0.6296255849810741,-5.123696217287334
2025_05_08,11_36_35_11-37-20_1,34,13.0,29.893710882414236,30.5,0.6062891175857636,-3.5586261957255383
2025_05_08,11_57_17_11-57-17_0,2,304.0,32.8964221453513,33.5,0.6035778546486981,-0.6248307744229539
2025_05_08,11_30_34_11-31-08_1,3,19.0,29.89975927119266,30.5,0.6002407288073393,-7.582610901484296
2025_05_08,11_28_42_11-29-16_1,6,167.0,29.96449151482305,30.5,0.5355084851769512,3.4834989872527373
2025_05_08,11_44_47_11-44-48_0,6,9.0,29.982262113232988,30.5,0.5177378867670122,0.8949138279576475
2025_05_08,11_57_17_11-57-17_0,1,216.0,33.04374662799725,33.5,0.45625337200274885,6.768494856537193
2025_05_08,11_36_35_11-37-20_1,16,166.0,33.11682743413384,33.5,0.3831725658661611,0.6528665155157178
2025_05_08,11_36_35_11-36-36_0,1,297.0,33.14019890732815,33.5,0.35980109267185156,6.126417425177914
2025_05_08,11_48_14_11-48-15_0,16,31.0,30.15756466327363,30.5,0.3424353367263713,6.2444745004984075
2025_05_08,11_30_34_11-30-34_0,1,348.0,30.188445625622812,30.5,0.311554374377188,2.8404943924793273
2025_05_08,12_01_20_12-01-20_0,3,184.0,33.803799844862745,33.5,0.3037998448627448,-14.755404950641484
2025_05_08,11_36_35_11-36-36_0,23,6.0,30.22369067359709,30.5,0.2763093264029095,5.637795029196254
2025_05_08,11_28_42_11-29-49_2,6,91.0,30.728019336437672,30.5,0.22801933643767214,-5.89705955548508
2025_05_08,11_57_58_11-57-59_0,1,125.0,30.299423595281155,30.5,0.20057640471884497,-5.223645126991662
2025_05_08,11_49_52_11-49-52_0,3,70.0,30.660007680078454,30.5,0.16000768007845423,-6.153835784409244
2025_05_08,11_30_34_11-31-08_1,2,49.0,30.34347844305466,30.5,0.1565215569453393,11.90391930146128
2025_05_08,11_57_58_11-57-59_0,24,41.0,33.34375753789567,33.5,0.15624246210433057,-6.947184323346408
2025_05_08,11_36_35_11-36-36_0,8,272.0,33.3465089754212,33.5,0.15349102457879837,2.7831918315382858
2025_05_08,12_02_02_12-02-02_0,3,29.0,33.63056122679705,33.5,0.13056122679704885,-17.379316413684737
2025_05_08,12_00_39_12-00-39_0,2,53.0,33.54477237708702,33.5,0.0447723770870212,-17.845159331001287
